Problem Interview Script	список вопросов, фокус на боли без упоминания решения
Solution Interview Script	проверка реакции на прототип или концепт
Open-Ended vs Closed Questions	«Как вы…?» vs «Сколько раз…?»; первые дают инсайты, вторые – цифры
«5 Why's» Technique	пять раз спрашиваем «почему», чтобы добраться до корня проблемы
Laddering Questions	переход от поверхностных ответов к мотивам и ценностям
Active Listening Loop	повтор, уточнение, подтверждение услышанного
Shadowing Customer	наблюдение «из-за плеча» за реальной работой пользователя
Diary Study	просим клиента вести дневник действий/эмоций в течение периода
Contextual Video Capture	запись видео работы клиента для последующего анализа
Affinity Mapping	кластеризация цитат/наблюдений по темам на стикерах
Saturation Point	момент, когда новые интервью перестают давать новые инсайты
Interview Coding Scheme	система тегов для маркировки цитат и последующей выборки
Bias Mitigation Checklist	пункты, чтобы снизить наводящие вопросы и предвзятость
Insight Statement Format	«Мы заметили, что _кто-то_ делает _что_, потому что _почему_»
Research Repository Structure	каталожная система хранения всех данных и выводов 