Direct vs Indirect Competitor	те же функции vs решают проблему иначе
Alternative Solutions Map	таблица «как ещё клиенты закрывают потребность»
Strategy Canvas (Blue Ocean)	граф, сравнивающий ценностные факторы конкурентов
Six Paths Framework	шесть «траекторий» поиска голубых океанов (границы отрасли, цепочка покупателей и т.д.)
ERRC Grid	Eliminate-Reduce-Raise-Create; как радикально изменить предложенную ценность
Value-Curve Gap	визуальный разрыв между вашей кривой ценности и средней по рынку
Moat Types (Data, Network, Brand)	устойчивые барьеры: данные, сеть, бренд, стоимость переключения
Feature Parity Matrix	таблица наличия/отсутствия фич у игроков
Speed of Imitation	как быстро конкуренты копируют нововведения
Key Resources vs Key Activities	канва Остервальдера: что нужно, чтобы поддерживать ваше преимущество
Competing on Outcome Not Feature	продаём результат, а не технологию
Reverse-Engineering Pricing	вычисляем логику цен конкурента по публичным данным
Competitive-Positioning Statement	«Для ___, который хочет ___, мы ___ в отличие от ___»
Competitive Response Playbook	заранее прописанные действия на шаги конкурентов
«How to Kill Us» Workshop	команда придумывает, как уничтожить свой продукт, чтобы увидеть уязвимости 