Value Proposition Canvas	match между «pain/gain клиента» и «pain-relievers, gain-creators продукта»
Gain Creators vs Pain Relievers	что добавляет выгоду, что убирает боль
Unique Value Proposition (USP)	короткое описание, почему продукт уникально ценен
«One-Liner» Pitch	1 предложение: [ЦА], [проблема], [решение]
Must-Have vs Nice-to-Have	различаем критичные и необязательные фичи
Sean Ellis PMF Survey	вопрос «Как бы вы себя чувствовали, если бы продукт исчез?» (> 40 % – сигнал PMF)
High-Frequency vs High-Value Use-Case	часто ли юзают и/или экономит ли много денег/времени
Core Job Coverage %	доля ключевой работы, которую закрывает наше решение
Feature-Benefit Chain	каждая фича → выгода → ценность бизнесу
Value Hypothesis	предположение, почему конкретная фича принесёт ценность
Solution Differentiator Stack	список уникальных элементов (алгоритм, UX, данные)
Proof-of-Concept Criteria	метрики, по которым PoC считается успешным
Solution Adoption Barriers	технические, организационные, психологические препятствия внедрению
Early ROI Calculator	быстрый расчёт окупаемости для клиента
Pilot-to-Scale Plan	как перейти от пилота к массовому внедрению 