Channel-Customer Fit	канал должен соответствовать привычкам и ожиданиям сегмента
Bullseye Framework	круги: inner (самые вероятные каналы) → outer (эксперименты)
Direct Sales vs Self-Serve PLG	персональные сделки «руками» vs продукт продаёт себя
Community-Led Acquisition	рост через активное сообщество пользователей
Marketplace API Distribution	публикация как интеграции (Slack, Telegram, AWS)
Outbound vs Inbound	вы идёте к клиенту vs он приходит сам
Referral Loop Design	механика «пригласи друга» с вирусным коэффициентом
Landing Page MVP	минимальный сайт, собирающий заявки и сигналы интереса
Cold-Email Conversion Math	расчёт «отправлено → открыто → ответ → встреча»
Freemium Conversion Levers	ограничения, толкающие на апгрейд: функции, объём, бренд
Channel Conflict Avoidance	разделение каналов, чтобы они не отнимали сделки друг у друга
First Customer Program	специальные условия, SLA, ранний фидбек
Pilot Contract Structure	объём, KPI, оплата, опцион на масштаб
Time-to-First-Value	сколько времени до момента, когда клиент почувствует пользу
Usage-Based Onboarding	обучение встроено в сам продукт по мере использования 