North-Star Metric	главный показатель, отражающий создаваемую ценность (например, количество обработанных задач)
Pirate-Metrics (AAARRR)	acquisition, activation, retention, referral, revenue
Leading vs Lagging Indicators	что сигналит заранее (leading) vs пост-фактум (lagging)
Activation Rate	% новых юзеров, достигших ключевого действия
Retention Cohorts	удержание по группам, пришедшим в разное время
Engagement Depth	насколько активно и глубоко используют продукт (частота × длительность)
Net Promoter Score (NPS)	готовность рекомендовать (-100…+100)
Sean Ellis 40 % Rule	≥ 40 % «очень расстроюсь» → признак PMF
Payback Period	сколько времени, чтобы реклама/привлечение окупились
LTV / CAC Ratio	ценность клиента к стоимости привлечения (> 3 : 1 норма SaaS)
Gross Churn vs Net Retention	уход всей выручки vs прирост после апсейла
Feature Adoption Curve	как быстро новые фичи достигают массового использования
Time-Series PMF Signal	динамика ключевых метрик во времени (улучшается ли fit)
Confidence Interval for PMF	статистическая уверенность в достигнутом fit по выборке
Kill-Criteria for Pivot	заранее оговорённые метрики, при невыполнении которых идём на пивот 